Date,GOOG,IE00B57X3V84
2023-01-02,,
2023-01-03,83.91124972904618,48.88686640188598
2023-01-04,84.01478174272461,49.89639265090227
2023-01-05,81.71637142002965,48.980020577801724
2023-01-06,83.68939256795875,50.0940025527666
2023-01-09,83.2360892679153,50.66006356503476
2023-01-10,83.04950769137577,49.77087689986729
2023-01-11,85.8139424723995,50.172518942768875
2023-01-12,85.27357014636209,50.5387280936327
2023-01-13,85.35218773304587,50.33498710324375
2023-01-16,85.3377685109117,50.69924361675112
2023-01-17,84.99921484397964,50.71499675697805
2023-01-18,84.93751442182383,50.80462788069008
2023-01-19,86.87214060345832,50.074768997330466
2023-01-20,91.53425854917168,50.452820687117764
2023-01-23,93.04577471778066,51.200740177226635
2023-01-24,91.1298127748596,51.06998641048813
2023-01-25,88.73875534501713,50.573345077596514
2023-01-26,90.68571949444095,50.86962464898602
2023-01-27,92.33663742879753,51.34732618520161
2023-01-30,89.9959119814348,51.16149860599444
2023-01-31,91.93557498325572,51.15340810567568
2023-02-01,93.28349473311937,51.326092575223356
2023-02-02,98.68136556504396,51.60334505705123
2023-02-03,96.37706894593066,51.989314476845266
2023-02-06,95.77769812970928,51.68725219808675
2023-02-07,100.56803961971309,52.023319573898334
2023-02-08,93.09307022149187,52.33589885251786
2023-02-09,88.9820142109229,52.68380780565167
2023-02-10,88.20479701347267,51.83251104153442
2023-02-13,88.86921688148323,52.778147383776286
2023-02-14,88.38617225034795,52.35116735078668
2023-02-15,90.34292995539772,52.166977051314234
2023-02-16,89.48120467010995,52.353415656466495
2023-02-17,88.58488532853517,51.77316816101302
2023-02-20,87.24264651957492,51.92127158283802
2023-02-21,86.07006472744979,51.32168354881287
2023-02-22,86.08296686881613,51.154669946809236
2023-02-23,85.77047621122756,51.457675346366386
2023-02-24,84.21214832202986,50.94806210405977
2023-02-27,85.2673183647239,51.55968459931864
2023-02-28,85.00199466741469,51.181744134002656
2023-03-01,85.47270157599633,51.180311562834504
2023-03-02,86.42381501129194,50.77822821602581
2023-03-03,88.59951885921919,51.845647438577544
2023-03-06,89.84523398056353,52.318788921720625
2023-03-07,88.00530166002318,51.158607341663355
2023-03-08,89.60730330885781,51.67879539064643
2023-03-09,87.73350759709365,51.6753136610032
2023-03-10,85.88487929940675,50.92256676470379
2023-03-13,85.69716022583088,49.87061182203979
2023-03-14,87.77880904906124,50.2470347936287
2023-03-15,89.89871635826876,49.116034642029035
2023-03-16,95.39047114111963,50.98572440425414
2023-03-17,96.42193764047624,50.79547805555285
2023-03-20,95.34181312042347,50.59531053673709
2023-03-21,98.62695717538509,50.890241158530216
2023-03-22,96.62080137294879,51.02449423757889
2023-03-23,97.64065175855649,50.89972754599148
2023-03-24,97.77469266565276,50.22123691536217
2023-03-27,95.51038161422457,50.88982856859684
2023-03-28,93.6838312340833,50.86484313789333
2023-03-29,93.90099023273933,51.16001319263796
2023-03-30,93.33110034225683,51.69853461906246
2023-03-31,95.2637558547085,51.748566939547345
2023-04-03,96.99851422952088,52.47452959139673
2023-04-04,96.22247703944049,52.16607017487763
2023-04-05,95.64753484793982,51.60534566293336
2023-04-06,99.76411445805206,52.04367693928907
2023-04-07,98.71890361122132,52.026242193010454
2023-04-10,97.8858207025587,52.12010164682283
2023-04-11,97.52154977517148,52.395138804689395
2023-04-12,96.26776643539415,52.278418490248214
2023-04-13,98.24373130581398,52.24143141402578
2023-04-14,98.90496733810778,51.86072104509549
2023-04-17,96.75338083452243,52.11350196127796
2023-04-18,96.10697607823022,52.6160217274828
2023-04-19,95.57810956511048,52.22141533390072
2023-04-20,96.58315231560664,52.327470397168554
2023-04-21,96.42723570351518,52.014744942131074
2023-04-24,97.03055069975699,51.85461097955704
2023-04-25,94.48085127581317,51.268141679391874
2023-04-26,95.03327567480437,51.75164760818029
2023-04-27,97.9850275462959,51.59187329404449
2023-04-28,97.98451598941165,52.16619528814795
2023-05-01,97.70995665994633,51.993878185749054
2023-05-02,96.50579241514697,51.91789803618144
2023-05-03,96.26758002555107,51.98479780999605
2023-05-04,94.94182602174988,51.29223877953336
2023-05-05,96.24871840811466,52.23657644207378
2023-05-08,98.1215502639925,52.23857793986508
2023-05-09,98.05014364283488,52.327452223809814
2023-05-10,102.28521147912579,52.43203291967416
2023-05-11,106.30595947288612,52.266637213191416
2023-05-12,107.9402395624029,52.47363671862445
2023-05-15,107.6479540582477,53.106616026313986
2023-05-16,110.31523037711304,53.01322572099639
2023-05-17,111.6746068071734,52.955788352267064
2023-05-18,113.83617886703178,53.56444484674739
2023-05-19,114.25092340193078,54.123294127490226
2023-05-22,116.16916729297373,54.14522645152283
2023-05-23,113.9111595079662,53.81533579563484
2023-05-24,112.81800748222304,53.08870077221491
2023-05-25,115.46436695412012,53.81454345470047
2023-05-26,116.82426348384524,54.52035243192768
2023-05-29,116.47135020208043,54.53202997257995
2023-05-30,116.2702361127458,54.615057088587946
2023-05-31,114.81317979725463,53.773065135786055
2023-06-01,116.15377654130134,54.66945128076077
2023-06-02,116.24396533435629,55.27476418155288
2023-06-05,118.22652285062941,55.567916438827524
2023-06-06,119.27465196109097,55.499548223581314
2023-06-07,114.78754784412922,55.29046513912681
2023-06-08,114.43496655868785,55.36803871000643
2023-06-09,113.82134453921844,55.1345255953579
2023-06-12,115.53267824437125,55.33927161673978
2023-06-13,115.47774893512224,56.10430522270576
2023-06-14,115.14932063536435,56.28699321936779
2023-06-15,115.87795933443067,56.45091999198439
2023-06-16,113.20990495853994,56.07554140039406
2023-06-19,113.15371017202597,55.74790108203888
